BTC/USDT,60804.01,60804.01,60804.01,2024-09-18 23:05:39.723172+00:00,0,0
BTC/RUB,3900027,3900027,3900027,2024-09-18 23:05:42.640197+00:00,0,0
BTC/USDT,60805.19,60805.19,60805.19,2024-09-18 23:05:54.375800+00:00,0,0
BTC/RUB,3900027,3900027,3900027,2024-09-18 23:05:57.292614+00:00,0,0
BTC/USDT,60817.99,60817.99,60817.99,2024-09-18 23:06:08.968123+00:00,0,0
BTC/RUB,3900027,3900027,3900027,2024-09-18 23:06:12.103279+00:00,0,0
BTC/USDT,60810.51,60810.51,60810.51,2024-09-18 23:06:24.193579+00:00,0,0
BTC/RUB,3900027,3900027,3900027,2024-09-18 23:06:27.445877+00:00,0,0
BTC/USDT,60756,60756,60756,2024-09-18 23:06:38.808099+00:00,0,0
BTC/RUB,3900027,3900027,3900027,2024-09-18 23:06:42.265966+00:00,0,0
BTC/USDT,60773.98,60773.98,60773.98,2024-09-18 23:06:54.164096+00:00,0,0
BTC/RUB,3900027,3900027,3900027,2024-09-18 23:06:57.620345+00:00,0,0
BTC/USDT,60959.86,60959.86,60959.86,2024-09-18 23:12:57.551164+00:00,0,0
BTC/RUB,3900027,3900027,3900027,2024-09-18 23:13:00.435843+00:00,0,0
BTC/USDT,60958.52,60958.52,60958.52,2024-09-18 23:13:11.909211+00:00,0,0
BTC/RUB,3900027,3900027,3900027,2024-09-18 23:13:15.687092+00:00,0,0
BTC/USDT,60907.24,60907.24,60907.24,2024-09-18 23:13:27.111761+00:00,0,0
BTC/RUB,3900027,3900027,3900027,2024-09-18 23:13:30.471242+00:00,0,0
